2.416154e+01 1 
1.789526e+01 2 
1.331652e+01 3 
1.044533e+01 4 
8.632493e+00 5 
7.355456e+00 6 
6.346423e+00 7 
5.636923e+00 8 
5.037037e+00 9 
4.562344e+00 10 
4.173386e+00 11 
3.819020e+00 12 
3.575856e+00 13 
3.316637e+00 14 
3.093503e+00 15 
2.934316e+00 16 
2.743617e+00 17 
2.613376e+00 18 
2.463946e+00 19 
2.333078e+00 20 
2.235513e+00 21 
2.161869e+00 22 
2.077967e+00 23 
1.959571e+00 24 
1.897070e+00 25 
1.842377e+00 26 
1.755545e+00 27 
1.688688e+00 28 
1.644964e+00 29 
1.619224e+00 30 
1.525057e+00 31 
1.539643e+00 32 
1.467810e+00 33 
1.426918e+00 34 
1.401952e+00 35 
1.385932e+00 36 
1.374302e+00 37 
1.283379e+00 38 
1.248531e+00 39 
1.272258e+00 40 
1.202522e+00 41 
1.164611e+00 42 
1.278940e+00 43 
1.191931e+00 44 
1.130158e+00 45 
1.153220e+00 46 
1.117187e+00 47 
1.106907e+00 48 
1.182633e+00 49 
1.152362e+00 50 
1.078615e+00 51 
1.051015e+00 52 
1.060251e+00 53 
1.124602e+00 54 
9.891380e-01 55 
1.047997e+00 56 
1.122272e+00 57 
1.077297e+00 58 
1.087281e+00 59 
1.269734e+00 60 
1.037036e+00 61 
1.066479e+00 62 
1.026390e+00 63 
1.072331e+00 64 
