2.414749e+01 1 
1.785539e+01 2 
1.326690e+01 3 
1.044143e+01 4 
8.580227e+00 5 
7.318441e+00 6 
6.364466e+00 7 
5.614956e+00 8 
5.081520e+00 9 
4.546967e+00 10 
4.139161e+00 11 
3.816220e+00 12 
3.551373e+00 13 
3.328994e+00 14 
3.083673e+00 15 
2.907685e+00 16 
2.802362e+00 17 
2.603158e+00 18 
2.462056e+00 19 
2.328891e+00 20 
2.230656e+00 21 
2.157186e+00 22 
2.044660e+00 23 
1.962162e+00 24 
1.873269e+00 25 
1.811528e+00 26 
1.793072e+00 27 
1.698786e+00 28 
1.681412e+00 29 
1.608242e+00 30 
1.521694e+00 31 
1.568637e+00 32 
1.426722e+00 33 
1.394851e+00 34 
1.354207e+00 35 
1.325124e+00 36 
1.373699e+00 37 
1.285757e+00 38 
1.298258e+00 39 
1.299373e+00 40 
1.267436e+00 41 
1.342044e+00 42 
1.324362e+00 43 
1.217652e+00 44 
1.269679e+00 45 
1.467989e+00 46 
1.762794e+00 47 
1.645597e+00 48 
2.122507e+00 49 
1.896512e+00 50 
1.776739e+00 51 
2.279662e+00 52 
1.499783e+00 53 
1.151989e+00 54 
1.104001e+00 55 
1.077348e+00 56 
1.045597e+00 57 
1.027128e+00 58 
1.082808e+00 59 
1.195627e+00 60 
1.071476e+00 61 
1.134594e+00 62 
9.897796e-01 63 
1.257667e+00 64 
